Input data:
x: 0,5570878423179026	 y: 0
x: 5,28711268655655	 y: -0,01725077308260081
x: 2,1468814206383477	 y: -0,03447351932822107
x: 9,51989040292807	 y: -0,05169161269939169
x: 2,3879051382934646	 y: -0,06881884443325287
x: 7,073988052790857	 y: -0,08594029369816471
x: 7,446813990690285	 y: -0,10301151531073477
x: 5,153525344162371	 y: -0,12002706759018064
x: 9,143367944223357	 y: -0,13701588758124153
x: 8,86043024660061	 y: -0,15392080165111496
x: 2,075996251206643	 y: -0,1707468970174435
x: 8,055974662037148	 y: -0,18756850290196586
x: 0,68531245243035	 y: -0,20432489212211782
x: 6,177326030286912	 y: -0,2210806060142395
x: 3,390899340259801	 y: -0,23779786259270075
x: 6,514443091146747	 y: -0,2545033596677162
x: 6,415793096465223	 y: -0,2711660787573915
x: 8,408366720433904	 y: -0,28778728128833053
x: 6,914519498138704	 y: -0,30433735321099703
x: 0,6921436492012945	 y: -0,3208392138420482
x: 8,827737706299034	 y: -0,33734027296884744
x: 7,081160038868195	 y: -0,3537629090346637
x: 1,5785551112905871	 y: -0,37013494736520197
x: 5,482132032535088	 y: -0,38650411799201373
x: 9,982070868162214	 y: -0,40284278737109125
x: 5,563291089563083	 y: -0,41908121177886665
x: 4,743192161932334	 y: -0,4352882040648717
x: 0,3146719481296123	 y: -0,4514722172555761
x: 9,082719088247575	 y: -0,46765567885299336
x: 8,117545586609097	 y: -0,4837560108325897
x: 4,089532677576685	 y: -0,49978983155381906
x: 6,804254626930188	 y: -0,51580639370782
x: 9,526012503672929	 y: -0,5317760484063958
x: 5,823542766031493	 y: -0,5476542435871269
x: 7,398661897100473	 y: -0,5634979084371355
x: 8,052790806682134	 y: -0,5792861588178438
x: 3,554988951049438	 y: -0,5950088514226232
x: 5,485432808707323	 y: -0,6107182845664465
x: 5,942921897525269	 y: -0,6263969555252787
x: 6,7972133029598725	 y: -0,6420396097690619
x: 0,6019050202747789	 y: -0,6576353260355329
x: 3,761944081410795	 y: -0,6732300203341103
x: 1,2059842866317683	 y: -0,6888098594839535
x: 2,5835173127494637	 y: -0,7043875511329836
x: 9,84979440204489	 y: -0,7199578490526923
x: 5,105437880443507	 y: -0,7354302127943674
x: 1,062323963474553	 y: -0,7508757219275162
x: 8,293496579605865	 y: -0,766319347888278
x: 5,263345156622686	 y: -0,7816932861384426
x: 6,708192421518458	 y: -0,7970386828385247
x: 3,626527743882866	 y: -0,8123381909230173
x: 4,996059841173748	 y: -0,8276237069958106
x: 5,503023912554054	 y: -0,8428833831770169
x: 6,380586011685322	 y: -0,8581118708568437
x: 5,719589419077909	 y: -0,8732987052820913
x: 7,006357708900555	 y: -0,8884518854306116
x: 4,6019886912850305	 y: -0,9035549879737682
x: 7,619866787055502	 y: -0,9186359644319783
x: 6,618867652468468	 y: -0,9336578417451806
x: 9,180128022022275	 y: -0,9486348863709982
x: 8,206900342972217	 y: -0,9635265369086466
x: 1,9874676691448667	 y: -0,978349733867815
x: 8,742199485503576	 y: -0,993167992577954
x: 9,696638832414061	 y: -1,0079086769972485
x: 8,735413889532145	 y: -1,0225541383523145
x: 3,9708762619432267	 y: -1,037122114805101
x: 7,022225417016912	 y: -1,051673252617042
x: 9,76559952809226	 y: -1,0661739262279855
x: 1,8482924110127996	 y: -1,0805779735749577
x: 8,953160324898398	 y: -1,0949775151520857
x: 5,158888998104388	 y: -1,1092956399196932
x: 6,909116442941156	 y: -1,123585985725822
x: 0,8915142406725851	 y: -1,1378273741902167
x: 6,5267541645359906	 y: -1,1520668261585405
x: 1,5563402423740336	 y: -1,1662624399075132
x: 4,428398082594307	 y: -1,1804544580114014
x: 7,812364381958872	 y: -1,1946256433064688
x: 3,335199381797146	 y: -1,2087344762963985
x: 5,793216829121686	 y: -1,2228309522953102
x: 4,0318637309386	 y: -1,2368925744291646
x: 2,9335000359301686	 y: -1,2509366687071155
x: 4,766464255337711	 y: -1,2649708868836103
x: 6,671626978343632	 y: -1,2789810728673676
x: 0,5950176483626679	 y: -1,2929453775467865
x: 3,4342207870419816	 y: -1,3069080319358954
x: 1,9474138631615467	 y: -1,3208575593036425
x: 0,7718853156228522	 y: -1,3348019631511592
x: 5,158842800354057	 y: -1,3487444325227549
x: 1,121972292422504	 y: -1,3626588834820732
x: 2,4648853437287643	 y: -1,3765707077098466
x: 4,055952552878315	 y: -1,3904750647803072
x: 5,918730969512975	 y: -1,4043615448885443
x: 7,871095388481728	 y: -1,418211516278018
x: 5,8981232877448155	 y: -1,4319979883782818
x: 3,646022371264497	 y: -1,4457481680737225
x: 5,23213320542037	 y: -1,459483579019132
x: 6,641926408987091	 y: -1,4731900975070609
x: 6,623815014622359	 y: -1,486850936304769
x: 6,4354637148965965	 y: -1,5004663224663735
x: 3,03460798506472	 y: -1,5140387070081913
x: 9,083512770144576	 y: -1,5276003471876989
x: 6,829771824626635	 y: -1,5410777812345549
x: 7,780009115879313	 y: -1,5545069319019775
x: 4,3394700203090455	 y: -1,56787387516803
x: 8,180102626744137	 y: -1,5812203787011239
x: 2,5423310793722487	 y: -1,594498249738496
x: 5,571182936679785	 y: -1,607768046690204
x: 3,473570088502563	 y: -1,6210051324047887
x: 4,858196984193701	 y: -1,6342285040105777
x: 1,8824425124342459	 y: -1,6474265887615025
x: 7,301419806611524	 y: -1,660619472098399
x: 3,0450359373579836	 y: -1,673757273976796
x: 9,536455732328296	 y: -1,686884107929175
x: 1,4967383169676463	 y: -1,6999181254695037
x: 2,0408147686353773	 y: -1,712948194973994
x: 4,62209039917563	 y: -1,7259723748319655
x: 3,6195956367869684	 y: -1,7389734187491588
x: 1,2538140683790766	 y: -1,7519595924948868
x: 6,088667949140959	 y: -1,7649424355733003
x: 2,9627153453560053	 y: -1,7778863640415776
x: 7,362530001685653	 y: -1,7908197157984271
x: 2,7883111269682526	 y: -1,803696957723982
x: 0,29982842081561767	 y: -1,8165646020881137
x: 7,060565804197064	 y: -1,8294303361719109
x: 6,70991812033232	 y: -1,8422442857186068
